"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",-425.347928671801,-3405.66635337556,-3557.28707270364,-3560.93157347522,-3560.98732725981,-3560.9930448121,-3560.99430203308,-3560.99462993738,-3560.99471730827,-3560.99474064236,-3560.99474687557
"2",-431.074729739623,-3348.87876823047,-3520.2250460583,-3524.50103056454,-3524.82677034551,-3524.85162563461,-3524.85334161642,-3524.85346838916,-3524.85347869801,-3524.85347959715,-3524.85347968085
"3",-443.899917470654,-3431.42714708872,-3595.44648809874,-3595.65556591669,-3595.66259267405,-3595.66323127885,-3595.66330174398,-3595.66330999816,-3595.6633109813,-3595.66331109892,-3595.663311113
"4",-434.999206854305,-3537.05249973835,-3723.4112642338,-3723.7986492849,-3723.79898225628,-3723.79898169039,-3723.79898172628,-3723.79898172784,-3723.79898172789,-3723.7989817279,-3723.7989817279
"5",-433.090419593928,-3424.19855824909,-3605.58014823803,-3606.36034142897,-3606.35658060124,-3606.35637878193,-3606.35636459281,-3606.35636408696,-3606.3563640698,-3606.35636406869,-3606.35636406863
"6",-405.359545911638,-3355.73336985185,-3518.68224055578,-3525.84352723634,-3527.02667292002,-3527.20579032602,-3527.22900133418,-3527.23194440543,-3527.23231680149,-3527.23236392346,-3527.23236988731
"7",-402.193095278431,-3559.74132900885,-3760.98099156527,-3761.40624746392,-3761.39819030737,-3761.39394479316,-3761.39271885722,-3761.39237926763,-3761.39228557761,-3761.39225973751,-3761.3922526107
"8",-438.726127856687,-3419.93175663308,-3571.75723811818,-3573.78234957803,-3573.88538714413,-3573.89054070712,-3573.8908142199,-3573.89083081953,-3573.89083243746,-3573.89083272961,-3573.89083280276
"9",-448.347160040365,-3578.36819466776,-3763.31308480955,-3766.13966956161,-3766.19966225034,-3766.20143477466,-3766.20149098533,-3766.20149278921,-3766.20149284764,-3766.20149284954,-3766.2014928496
"10",-416.275132721604,-3442.48786933844,-3604.89782602832,-3606.87137586696,-3606.97023892917,-3606.98231281669,-3606.98486975706,-3606.98550999232,-3606.98567644383,-3606.98572027738,-3606.98573189393
"11",-405.78964900846,-3461.04356089489,-3644.40175106022,-3644.90967783117,-3644.97159282389,-3644.9901627306,-3644.9954107213,-3644.99687127299,-3644.99727694736,-3644.99738965501,-3644.99742097997
"12",-374.37647630685,-3493.68643491136,-3671.04954991672,-3673.23863243024,-3673.31022540685,-3673.31738568593,-3673.318341738,-3673.31848427086,-3673.31850648216,-3673.31851003132,-3673.31851060708
"13",-397.257628352111,-3338.7852584354,-3526.89156313095,-3534.43950794731,-3534.65898712153,-3534.66292268421,-3534.66173625441,-3534.66130757481,-3534.66118323991,-3534.66114845621,-3534.66113881385
"14",-438.713514753167,-3352.14004160783,-3520.97784449659,-3526.78825760732,-3527.57417553075,-3527.66730378599,-3527.67780099635,-3527.67898691546,-3527.67912233094,-3527.67913799371,-3527.67913983205
"15",-435.997746693217,-3568.33744533026,-3763.44647490034,-3764.86519182171,-3764.88434878802,-3764.88491459337,-3764.88493166634,-3764.88493218438,-3764.88493220014,-3764.88493220062,-3764.88493220064
"16",-448.559066493401,-3404.66735532393,-3606.13817142208,-3606.95881002487,-3606.99131719182,-3606.99727537639,-3606.99867423087,-3606.99902845139,-3606.99912078726,-3606.99914516417,-3606.99915163678
"17",-424.464999828135,-3344.59669815941,-3538.50333917642,-3539.95852824421,-3540.01271533929,-3540.01512584613,-3540.0159595006,-3540.01629059026,-3540.0164006496,-3540.01643432232,-3540.01644425164
"18",-404.058429496927,-3391.22106040615,-3591.9527925412,-3594.30897315863,-3594.3634546102,-3594.36507568771,-3594.36512728111,-3594.36512903433,-3594.36512909447,-3594.36512909652,-3594.36512909659
"19",-442.056623131781,-3407.98848662151,-3594.01708751628,-3604.65333470349,-3607.03905648045,-3607.37224821209,-3607.41108515311,-3607.41558541141,-3607.41611761139,-3607.41618237914,-3607.41619054005
"20",-403.905331008079,-3457.20781718331,-3648.53043252772,-3651.13083849273,-3651.35156642715,-3651.38019606626,-3651.38470716357,-3651.38564074331,-3651.38588257408,-3651.38595326006,-3651.38597498364
