Row Description,Noisy bit 0,Noisy bit 1,Noisy bit 2,Noisy bit 3,Noisy bit 4,Noisy bit 5,Noisy bit 6,Noisy bit 7,Noisy bit 8,Noisy bit 9,Noisy bit 10,Noisy bit 11,Noisy bit 12,Noisy bit 13,Noisy bit 14
Image 0 Row,21,3,10,27,19,24,7,0,25,6,7,15,14,17,23
Image 1 Row,26,9,4,0,20,5,23,3,14,21,15,2,15,3,27
Image 2 Row,13,24,24,11,0,11,26,18,12,12,17,8,20,0,6
Image 3 Row,10,16,25,15,27,7,26,13,24,15,12,13,21,20,24
Image 4 Row,6,14,23,16,7,7,17,24,3,26,3,5,10,7,4
Image 5 Row,9,13,14,20,26,23,18,5,17,9,14,22,24,2,20
Image 6 Row,20,15,8,22,19,2,27,14,11,17,12,5,18,25,12
Image 7 Row,3,8,23,9,10,16,26,18,15,23,9,20,14,21,1
Image 8 Row,18,24,2,0,27,14,13,20,18,8,16,12,15,4,22
Image 9 Row,7,26,16,12,27,0,16,9,25,23,15,9,14,24,9
Image 10 Row,14,7,20,27,20,11,17,13,25,27,10,1,5,21,27
Image 11 Row,9,18,23,20,4,1,4,9,18,9,0,0,25,10,15
Image 12 Row,23,21,20,7,6,15,12,12,8,9,13,2,14,15,1
Image 13 Row,25,11,5,4,16,1,0,1,1,9,20,19,14,17,27
Image 14 Row,3,7,0,5,7,3,18,2,1,20,10,16,7,20,24
Image 15 Row,17,26,3,7,24,7,23,14,14,14,25,18,27,20,17
Image 16 Row,23,5,17,14,20,21,15,8,11,23,5,13,22,24,10
Image 17 Row,24,9,16,24,20,20,26,8,12,18,16,9,11,14,22
Image 18 Row,4,19,1,6,19,12,19,17,9,0,15,6,3,19,16
Image 19 Row,19,18,19,8,5,12,19,9,0,8,15,3,3,1,23
